AGENCY_ID, REPORT_DATE, OFFENSE_START_TIME, REPORT_KEY, REPORT_CODE, CATEGORY, BLOCK_ADDRESS, CITY, ZIP
Clearwater PD,8/26/2021,10:08:00PM,CW21-106469,BEMP,BATTERY,300 Block of PINELLAS ST ,CLEARWATER,33756
Sheriff,8/26/2021,11:07:00PM,SO21-239293,RFF,WEAPON,9800 Block of SEMINOLE BLVD ,PINELLAS SO,33772
Sheriff,8/27/2021,01:40:00PM,SO21-239794,B65,BATTERY ,8300 Block of CANDLEWOOD RD ,PINELLAS SO,33777
Clearwater PD,8/27/2021,Unknown,CW21-106590,BAT,BATTERY,1400 Block of DRUID RD ,CLEARWATER,33756
Sheriff,8/27/2021,04:00:00PM,SO21-240136,GT,THEFT-GRAND,16600 Block of GULF BLVD ,N REDINGTON BEACH,33708
Sheriff,8/28/2021,12:00:00AM,SO21-240729,BAT,BATTERY,30000 Block of US HIGHWAY 19 N ,PINELLAS SO,33761
Clearwater PD,8/28/2021,04:48:00PM,CW21-107327,BAT,BATTERY,400 Block of E SHORE DR ,CLEARWATER,33767
Clearwater PD,8/16/2021,03:35:00PM,CW21-101585,TAWN,TRESPASS,19300 Block of US HIGHWAY 19 N ,CLEARWATER,33764
Sheriff,8/16/2021,06:38:00PM,SO21-227886,TAWN,TRESPASS,12500 Block of 49TH ST N ,PINELLAS PARK,33762
Sheriff,8/16/2021,02:05:00AM,SO21-227052,BAT,BATTERY,4700 Block of 68TH ST N ,PINELLAS SO,33709
Clearwater PD,8/16/2021,12:00:00AM,CW21-101517,GTA,STOLEN VEHICLE,1800 Block of N HERCULES AVE ,CLEARWATER,33765
Clearwater PD,8/15/2021,11:20:00AM,CW21-101161,BAT,BATTERY,1500 Block of N GARDEN AVE ,CLEARWATER,33755
Sheriff,8/15/2021,02:18:00PM,SO21-226454,BBD,BATTERY ,14400 Block of 49TH ST N ,PINELLAS SO,33762
Sheriff,8/15/2021,10:00:00AM,SO21-226801,MPJU,MISSING PERSON,300 Block of SCOTT CT ,PINELLAS SO,34684
Gulfport PD,8/16/2021,07:00:00AM,GP21-14924,RSVO,STOLEN VEHICLE - REC,1700 Block of 56TH ST S ,GULFPORT,33707
Sheriff,8/16/2021,09:03:00PM,SO21-228043,BAT,BATTERY,4100 Block of 78TH ST N ,PINELLAS SO,33709
Sheriff,8/27/2021,04:05:00PM,SO21-239903,MPJU,MISSING PERSON,5000 Block of 40TH ST N ,PINELLAS SO,33714
Clearwater PD,8/27/2021,Unknown,CW21-106580,BAT,BATTERY,600 Block of GULFVIEW BLVD ,CLEARWATER,
Sheriff,8/17/2021,07:03:00PM,SO21-229299,BAT,BATTERY,16400 Block of US HIGHWAY 19 N ,PINELLAS SO,33764
Sheriff,8/18/2021,12:00:00AM,SO21-230482,BRGC,BURGLARY-VEHICLE,3300 Block of 64TH AVE N ,PINELLAS SO,33702
Sheriff,8/19/2021,05:17:00PM,SO21-231516,TAWN,TRESPASS,6000 Block of CRESTMONT AVE ,PINELLAS SO,33760
Sheriff,8/18/2021,06:40:00PM,SO21-230542,LSAP,TRAFFIC ACCIDENT,SR 580 & W OF SR 590,SAFETY HARBOR,34695
Clearwater PD,8/19/2021,07:50:00PM,CW21-103038,PT,THEFT-PETIT,1200 Block of S MISSOURI AVE ,CLEARWATER,33756
Clearwater PD,8/19/2021,10:00:00AM,CW21-102930,BRGR,BURGLARY-RESIDENCE,600 Block of N HERCULES AVE ,CLEARWATER,33765
Sheriff,8/18/2021,06:02:00PM,SO21-230463,TAWN,TRESPASS,9500 Block of BAY PINES BLVD ,PINELLAS SO,33708
Clearwater PD,8/18/2021,03:45:00PM,CW21-102537,BAT,BATTERY,1300 Block of S BELCHER RD ,CLEARWATER,33764
Sheriff,8/30/2021,04:30:00AM,SO21-243017,BRGC,BURGLARY-VEHICLE,2100 Block of N OVERBROOK AVE ,BELLEAIR BLUFFS,33770
Sheriff,8/30/2021,08:00:00PM,SO21-243149,PT,THEFT-PETIT,TAMPA RD & CURLEW RD,OLDSMAR,34677
Kenneth City PD,8/29/2021,01:00:00PM,KC21-39052,MPJU,MISSING PERSON,5600 Block of 58TH WAY N ,KENNETH CITY,33709
Sheriff,8/22/2021,01:00:00PM,SO21-234068,BRGC,BURGLARY-VEHICLE,300 Block of SCOTT CT ,PINELLAS SO,34684
Sheriff,8/22/2021,01:36:00AM,SO21-233879,BRGC,BURGLARY-VEHICLE,11300 Block of 115TH AVE N ,PINELLAS SO,33778
Clearwater PD,8/21/2021,02:00:00AM,CW21-103993,GTA,STOLEN VEHICLE,800 Block of LASALLE ST ,CLEARWATER,33755
Sheriff,8/22/2021,10:55:00AM,SO21-234242,FTPC,THEFT-GRAND,30100 Block of US HIGHWAY 19 N ,PINELLAS SO,33761
Clearwater PD,8/22/2021,02:55:00PM,CW21-104344,PTTB,THEFT-PETIT,1400 Block of S MISSOURI AVE ,CLEARWATER,33756
Sheriff,8/20/2021,07:00:00PM,SO21-232491,BRGC,BURGLARY-VEHICLE,500 Block of NEW YORK AVE ,DUNEDIN,34698
Sheriff,8/22/2021,12:00:00AM,SO21-234005,LSAP,TRAFFIC ACCIDENT,MAIN ST & COUNTY ROAD 1,DUNEDIN,34698
Sheriff,8/22/2021,02:00:00PM,SO21-234575,LSAP,TRAFFIC ACCIDENT,17100 Block of GULF BLVD ,N REDINGTON BEACH,33708
Sheriff,8/22/2021,01:36:00AM,SO21-233881,BRGC,BURGLARY-VEHICLE,11300 Block of 115TH AVE N ,PINELLAS SO,33778
Clearwater PD,8/22/2021,06:53:00PM,CW21-104160,GTS,THEFT-SHOPLIFTING,27000 Block of US HIGHWAY 19 N ,CLEARWATER,33761
Clearwater PD,8/15/2021,04:30:00PM,CW21-101275,BRGR,BURGLARY-RESIDENCE,500 Block of N FT HARRISON AVE ,CLEARWATER,33755
Clearwater PD,8/15/2021,12:29:00PM,CW21-101144,BAT,BATTERY,3000 Block of STATE ROAD 590 ,CLEARWATER,33759
Clearwater PD,8/27/2021,09:30:00PM,CW21-106698,GTA,STOLEN VEHICLE,1800 Block of KINGS HWY ,CLEARWATER,33755
Sheriff,8/26/2021,08:55:00PM,SO21-239211,BAT,BATTERY,900 Block of E LAKE RD ,PINELLAS SO,34685
Clearwater PD,8/15/2021,08:30:00PM,CW21-101037,GTA,STOLEN VEHICLE,3400 Block of ROCHELLE CT ,CLEARWATER,33761
Sheriff,8/16/2021,01:29:00AM,SO21-227177,BRGC,BURGLARY-VEHICLE,3700 Block of 51ST AVE N ,PINELLAS SO,33714
Sheriff,8/15/2021,05:56:00PM,SO21-226748,PT,THEFT-PETIT,16300 Block of US HIGHWAY 19 N ,PINELLAS SO,33764
Sheriff,8/17/2021,Unknown,SO21-229272,BAT,BATTERY,1900 Block of 119TH ST N ,PINELLAS SO,33778
Clearwater PD,8/17/2021,08:08:00PM,CW21-102136,LSAP,TRAFFIC ACCIDENT,MAGNOLIA DR & OXFORD DR,CLEARWATER,33764
Sheriff,8/17/2021,12:00:00AM,SO21-228842,PT,THEFT-PETIT,2000 Block of SHADOW LN ,PINELLAS SO,33763
Clearwater PD,8/28/2021,11:00:00AM,CW21-107280,BRGC,BURGLARY-VEHICLE,1700 Block of N FORT HARRISON AVE ,CLEARWATER,33755
Clearwater PD,8/29/2021,09:30:00AM,CW21-107749,GT,THEFT-GRAND,1600 Block of GULF TO BAY BLVD ,CLEARWATER,33755
Tarpon Springs PD,8/15/2021,06:15:00PM,TS21-21692,FTPC,THEFT-GRAND,1000 Block of E TARPON AVE ,TARPON SPRINGS,34689
Sheriff,8/16/2021,01:45:00AM,SO21-228118,BRGC,BURGLARY-VEHICLE,4100 Block of 53RD AVE N ,PINELLAS SO,33714
Clearwater PD,8/17/2021,05:45:00PM,CW21-102121,BRGC,BURGLARY-VEHICLE,0 Block of N HERCULES AVE ,CLEARWATER,33765
